sabitsuki, .flow
kujikawa rise, persona
marie \(persona 4\), persona
niijima makoto, persona
niijima sae, persona
okumura haru, persona
sakura futaba, persona
satonaka chie, persona
shiomi kotone, persona
shirogane naoto, persona
takamaki anne, persona
takeba yukari, persona
takemi tae, persona
yamagishi fuuka, persona
yoshino chidori, persona
yoshizawa kasumi, persona
gene \(pso2\), phantasy star
io \(pso2\), phantasy star
matoi \(pso2\), phantasy star
numako \(pizza kanon\), phantasy star
protagonist \(pso2\), phantasy star
quna \(pso2\), phantasy star
pipkin pippa, phase connect
tenma maemi, phase connect
pixiv-tan, pixiv
hoshino yumemi, planetarian
ace trainer \(pokemon\), pokemon
acerola \(pokemon\), pokemon
aether foundation employee, pokemon
akari \(pokemon\), pokemon
anabel \(pokemon\), pokemon
arezu \(pokemon\), pokemon
bea \(pokemon\), pokemon
bianca \(pokemon\), pokemon
braixen, pokemon
caitlin \(pokemon\), pokemon
candice \(pokemon\), pokemon
carmine \(pokemon\), pokemon
clair \(pokemon\), pokemon
courtney \(pokemon\), pokemon
cynthia \(pokemon\), pokemon
dawn \(pokemon\), pokemon
delphox, pokemon
dendra \(pokemon\), pokemon
elesa \(pokemon\), pokemon
erika \(pokemon\), pokemon
female protagonist \(pokemon go\), pokemon
fighting miku \(project voltage\), pokemon
flannery \(pokemon\), pokemon
gardenia \(pokemon\), pokemon
gardevoir, pokemon
geeta \(pokemon\), pokemon
ghost miku \(project voltage\), pokemon
gloria \(pokemon\), pokemon
green \(pokemon\), pokemon
hatterene, pokemon
hex maniac \(pokemon\), pokemon
hilda \(pokemon\), pokemon
iono \(pokemon\), pokemon
irida \(pokemon\), pokemon
iris \(pokemon\), pokemon
jasmine \(pokemon\), pokemon
jessie \(pokemon\), pokemon
juliana \(pokemon\), pokemon
kahili \(pokemon\), pokemon
katy \(pokemon\), pokemon
kirlia, pokemon
klara \(pokemon\), pokemon
korrina \(pokemon\), pokemon
kris \(pokemon\), pokemon
lacey \(pokemon\), pokemon
lana \(pokemon\), pokemon
lana's mother \(pokemon\), pokemon
lass \(pokemon\), pokemon
leaf \(pokemon\), pokemon
liko \(pokemon\), pokemon
lillie \(pokemon\), pokemon
lisia \(pokemon\), pokemon
lopunny, pokemon
lorelei \(pokemon\), pokemon
lusamine \(pokemon\), pokemon
lyra \(pokemon\), pokemon
magnemite, pokemon
mallow \(pokemon\), pokemon
marnie \(pokemon\), pokemon
may \(pokemon\), pokemon
mega gardevoir, pokemon
mega lopunny, pokemon
melony \(pokemon\), pokemon
meowscarada, pokemon
mina \(pokemon\), pokemon
miriam \(pokemon\), pokemon
misty \(pokemon\), pokemon
morpeko \(full\), pokemon
morpeko, pokemon
nemona \(pokemon\), pokemon
nessa \(pokemon\), pokemon
oleana \(pokemon\), pokemon
olivia \(pokemon\), pokemon
penny \(pokemon\), pokemon
perrin \(pokemon\), pokemon
pheromosa, pokemon
rika \(pokemon\), pokemon
rosa \(pokemon\), pokemon
rotom phone, pokemon
rotom, pokemon
roxanne \(pokemon\), pokemon
roxie \(pokemon\), pokemon
sabrina \(pokemon\), pokemon
selene \(pokemon\), pokemon
serena \(pokemon\), pokemon
shauna \(pokemon\), pokemon
shauntal \(pokemon\), pokemon
skyla \(pokemon\), pokemon
sonia \(pokemon\), pokemon
tsareena, pokemon
weavile, pokemon
whitney \(pokemon\), pokemon
wicke \(pokemon\), pokemon
yellow \(pokemon\), pokemon
zinnia \(pokemon\), pokemon
buttercup \(ppg\), powerpuff girls
akazutsumi momoko, powerpuff girls z
goutokuji miyako, powerpuff girls z
hyper blossom, powerpuff girls z
matsubara kaoru, powerpuff girls z
powered buttercup, powerpuff girls z
rolling bubbles, powerpuff girls z
akimoto komachi, precure
amamiya elena, precure
aoki reika, precure
aono miki, precure
cure beat, precure
cure beauty, precure
cure berry, precure
cure black, precure
cure blossom, precure
cure butterfly, precure
cure coral, precure
cure diamond, precure
cure dream, precure
cure flora, precure
cure happy, precure
cure heart, precure
cure la mer, precure
cure march, precure
cure marine, precure
cure melody, precure
cure mermaid, precure
cure milky, precure
cure muse \(yellow\), precure
cure passion, precure
cure peace, precure
cure peach, precure
cure pine, precure
cure precious, precure
cure princess, precure
cure rhythm, precure
cure rosetta, precure
cure sky, precure
cure star, precure
cure summer, precure
cure sunny, precure
cure sunshine, precure
cure white, precure
cure wonderful, precure
cure yell, precure
hagoromo lala, precure
hanami kotoha, precure
hanasaki tsubomi, precure
haruno haruka, precure
higashi setsuna, precure
hijiri ageha, precure
hikawa iona, precure
hino akane \(smile precure!\), precure
hiramitsu hinata, precure
hishikawa rikka, precure
hoshina hikaru, precure
hoshizora ikuyo, precure
hoshizora miyuki, precure
houjou hibiki, precure
ichinose minori, precure
inukai komugi, precure
kagayaki homare, precure
kaguya madoka, precure
kaidou minami, precure
kasugano urara \(yes! precure 5\), precure
kenjou akira, precure
kenzaki makoto, precure
kise yayoi, precure
kurokawa eren, precure
kurumi erika, precure
laura la mer, precure
madoka aguri, precure
midorikawa nao, precure
mimino kurumi, precure
minamino kanade, precure
minazuki karen, precure
mishou mai, precure
misumi nagisa, precure
momozono love, precure
myoudouin itsuki, precure
natsuki rin, precure
natsuumi manatsu, precure
nekoyashiki yuki, precure
nijigaoka mashiro, precure
nono hana, precure
ruru amour, precure
seiren \(suite precure\), precure
shirabe ako, precure
shirayuki hime, precure
sora harewataru, precure
suzumura sango, precure
takizawa asuka, precure
tsukikage yuri, precure
yakushiji saaya, precure
yamabuki inori, precure
yotsuba alice, precure
yukishiro honoka, precure
yumehara nozomi, precure
yuni \(precure\), precure
falulu, pretty series
kurosu aroma, pretty series
manaka laala, pretty series
manaka non \(normal\), pretty series
manaka non, pretty series
minami mirei, pretty series
momoyama mirai, pretty series
toudou shion, pretty series
yumekawa yui, pretty series
ameth \(princess connect!\), princess connect!
chieru \(princess connect!\), princess connect!
chloe \(princess connect!\), princess connect!
eriko \(princess connect!\), princess connect!
hatsune \(princess connect!\), princess connect!
karyl \(princess connect!\), princess connect!
karyl \(summer) (princess connect!\), princess connect!
kasumi \(princess connect!\), princess connect!
kokkoro \(princess connect!\), princess connect!
kokkoro \(summer) (princess connect!\), princess connect!
maho \(princess connect!\), princess connect!
makoto \(princess connect!\), princess connect!
makoto \(summer) (princess connect!\), princess connect!
mimi \(princess connect!\), princess connect!
misogi \(princess connect!\), princess connect!
miyako \(princess connect!\), princess connect!
neneka \(princess connect!\), princess connect!
pecorine \(princess connect!\), princess connect!
pecorine \(summer) (princess connect!\), princess connect!
saren \(princess connect!\), princess connect!
saren \(summer) (princess connect!\), princess connect!
shiori \(princess connect!\), princess connect!
shizuru \(princess connect!\), princess connect!
tsumugi \(princess connect!\), princess connect!
yui \(ceremonial) (princess connect!\), princess connect!
yui \(princess connect!\), princess connect!
yuni \(princess connect!\), princess connect!
ange \(princess principal\), princess principal
midorikawa hana, prison school
shiraki meiko, prison school
amano nene \(vtuber\), production kawaii
angela \(project moon\), project moon
binah \(project moon\), project moon
don quixote \(project moon\), project moon
faust \(project moon\), project moon
hod \(project moon\), project moon
ishmael \(project moon\), project moon
kromer \(project moon\), project moon
outis \(project moon\), project moon
rodion \(project moon\), project moon
ryoshu \(project moon\), project moon
yuri \(project moon\), project moon
25-ji miku, project sekai
asahina mafuyu, project sekai
azusawa kohane, project sekai
hanasato minori, project sekai
hinomori shizuku, project sekai
hoshino ichika \(project sekai\), project sekai
kiritani haruka, project sekai
kusanagi nene, project sekai
mochizuki honami, project sekai
momoi airi, project sekai
ootori emu, project sekai
shinonome ena, project sekai
shiraishi an, project sekai
tenma saki, project sekai
yoisaki kanade, project sekai
puniru \(puniru wa kawaii slime\), puniru wa kawaii slime
amitie \(puyopuyo\), puyopuyo
arle nadja, puyopuyo
carbuncle \(puyopuyo\), puyopuyo
draco centauros, puyopuyo
lidelle \(puyopuyo\), puyopuyo
puyo \(puyopuyo\), puyopuyo
witch \(puyopuyo\), puyopuyo
athena \(p&d\), puzzle & dragons
bastet \(p&d\), puzzle & dragons
haku \(p&d\), puzzle & dragons
hera \(p&d\), puzzle & dragons
isis \(p&d\), puzzle & dragons
karin \(p&d\), puzzle & dragons
light valkyrie \(p&d\), puzzle & dragons
pandora \(p&d\), puzzle & dragons
sakuya \(p&d\), puzzle & dragons
valkyrie \(p&d\), puzzle & dragons
chi lian \(qinshi mingyue\), qinshi mingyue
chigusa asuha, qualidea code
airi \(queen's blade\), queen's blade
airi \(the infernal temptress\), queen's blade
aldra \(queen's blade\), queen's blade
alleyne \(queen's blade\), queen's blade
ancient princess menace, queen's blade
angel of light nanael, queen's blade
cattleya \(queen's blade\), queen's blade
echidna \(queen's blade\), queen's blade
exiled warrior leina, queen's blade
fighting master alleyne, queen's blade
leina \(queen's blade\), queen's blade
melona \(queen's blade\), queen's blade
menace \(queen's blade\), queen's blade
musha miko tomoe, queen's blade
nanael \(queen's blade\), queen's blade
protean assassin melona, queen's blade
risty \(queen's blade\), queen's blade
setra, queen's blade
tomoe \(queen's blade\), queen's blade
veteran mercenary echidna, queen's blade
weapon merchant cattleya, queen's blade
aloe \(quiz magic academy\), quiz magic academy
shalon, quiz magic academy
grim aloe, quiz magic academy the world evolve
acolyte \(ragnarok online\), ragnarok online
alchemist \(ragnarok online\), ragnarok online
arch bishop \(ragnarok online\), ragnarok online
assassin \(ragnarok online\), ragnarok online
assassin cross \(ragnarok online\), ragnarok online
creator \(ragnarok online\), ragnarok online
genetic \(ragnarok online\), ragnarok online
goinkyo, ragnarok online
gypsy \(ragnarok online\), ragnarok online
high priest \(ragnarok online\), ragnarok online
high wizard \(ragnarok online\), ragnarok online
hunter \(ragnarok online\), ragnarok online
lord knight \(ragnarok online\), ragnarok online
mage \(ragnarok online\), ragnarok online
moonlight flower, ragnarok online
ninja \(ragnarok online\), ragnarok online
poring, ragnarok online
priest \(ragnarok online\), ragnarok online
professor \(ragnarok online\), ragnarok online
ranger \(ragnarok online\), ragnarok online
sniper \(ragnarok online\), ragnarok online
sorcerer \(ragnarok online\), ragnarok online
stalker \(ragnarok online\), ragnarok online
wanderer \(ragnarok online\), ragnarok online
warlock \(ragnarok online\), ragnarok online
whitesmith \(ragnarok online\), ragnarok online
wizard \(ragnarok online\), ragnarok online
stella vermillion, rakudai kishi no cavalry
angela balzac, rakuen tsuihou
kuonji ukyou, ranma 1/2
ranma-chan, ranma 1/2
shampoo \(ranma 1/2\), ranma 1/2
tendou akane, ranma 1/2
tendou nabiki, ranma 1/2
altair \(re:creators\), re:creators
beatrice \(re:zero\), re:zero kara hajimeru isekai seikatsu
echidna \(re:zero\), re:zero kara hajimeru isekai seikatsu
elsa granhilte, re:zero kara hajimeru isekai seikatsu
emilia \(re:zero\), re:zero kara hajimeru isekai seikatsu
ram \(re:zero\), re:zero kara hajimeru isekai seikatsu
rem \(re:zero\), re:zero kara hajimeru isekai seikatsu
yomiko readman, read or die
deedlit, record of lodoss war
pirotess, record of lodoss war
liru, renkin san-kyuu magical pokaan
pachira, renkin san-kyuu magical pokaan
ada wong, resident evil
alcina dimitrescu, resident evil
ashley graham, resident evil
claire redfield, resident evil
jill valentine, resident evil
37 \(reverse:1999\), reverse:1999
isolde \(reverse:1999\), reverse:1999
marcus \(reverse:1999\), reverse:1999
regulus \(reverse:1999\), reverse:1999
schneider \(reverse:1999\), reverse:1999
sonetto \(reverse:1999\), reverse:1999
tooth fairy \(reverse:1999\), reverse:1999
vertin \(reverse:1999\), reverse:1999
voyager \(reverse:1999\), reverse:1999
kanbe kotori, rewrite
nakatsu shizuru, rewrite
arihara nanami, riddle joker
mitsukasa ayase, riddle joker
shikibe mayu, riddle joker
fin e ld si laffinty, rinne no lagrange
kyouno madoka, rinne no lagrange
rinne \(rinrinne\), rinrinne
flamie speeddraw, rokka no yuusha
akashiya moka, rosario+vampire
shirayuki mizore, rosario+vampire
hakamada hinata, rou-kyuu-bu!
minato tomoka, rou-kyuu-bu!
barasuishou, rozen maiden
hinaichigo, rozen maiden
hyougintou, rozen maiden
kanaria, rozen maiden
kirakishou, rozen maiden
kunkun, rozen maiden
shinku, rozen maiden
souseiseki, rozen maiden
suigintou, rozen maiden
suiseiseki, rozen maiden
blake belladonna, rwby
cinder fall, rwby
neo politan, rwby
nora valkyrie, rwby
penny polendina, rwby
pyrrha nikos, rwby
ruby rose, rwby
velvet scarlatina, rwby
weiss schnee, rwby
yang xiao long, rwby
hinatsuru ai, ryuuou no oshigoto!
sora ginko, ryuuou no oshigoto!
yashajin ai, ryuuou no oshigoto!
kasumigaoka utaha, saenai heroine no sodatekata
katou megumi, saenai heroine no sodatekata
sawamura spencer eriri, saenai heroine no sodatekata
virginia knights, saga
enomoto noa, saibou shinkyoku
lilith \(saikin yatotta maid ga ayashii\), saikin yatotta maid ga ayashii
amae koromo, saki
atarashi ako, saki
etopen, saki
haramura nodoka, saki
iwato kasumi, saki
kataoka yuuki, saki
kunihiro hajime, saki
matsumi yuu, saki
miyanaga saki, saki
miyanaga teru, saki
takakamo shizuno, saki
takei hisa, saki
usuzumi hatsumi, saki
shinguuji sakura, sakura taisen
shiina mashiro, sakura-sou no pet na kanojo
samsung sam, samsung
cham cham, samurai spirits
iroha \(samurai spirits\), samurai spirits
majikina mina, samurai spirits
nakoruru, samurai spirits
shiki \(samurai spirits\), samurai spirits
natori sana, sana channel
sanka rea, sankarea
ayachi nene, sanoba witch
inaba meguru, sanoba witch
cinnamoroll, sanrio
hello kitty \(character\), sanrio
kuromi, sanrio
my melody, sanrio
pompompurin, sanrio
sayaka \(saru getchu\), saru getchu
rachel gardner, satsuriku no tenshi
saya \(saya no uta\), saya no uta
fuura kafuka, sayonara zetsubou sensei
itoshiki rin, sayonara zetsubou sensei
kitsu chiri, sayonara zetsubou sensei
kobushi abiru, sayonara zetsubou sensei
komori kiri, sayonara zetsubou sensei
katsura kotonoha, school days
sawachika eri, school rumble
suou mikoto \(school rumble\), school rumble
angela \(seiken densetsu 3\), seiken densetsu
riesz, seiken densetsu
kumashiro maya, seikimatsu occult gakuin
futaba rio, seishun buta yarou
sakurajima mai, seishun buta yarou
galaktika, sekai seifuku: bouryaku no zvezda
hoshimiya kate, sekai seifuku: bouryaku no zvezda
kurukuru \(sekai seifuku\), sekai seifuku: bouryaku no zvezda
natasha \(sekai seifuku\), sekai seifuku: bouryaku no zvezda
venera-sama, sekai seifuku: bouryaku no zvezda
bushidou \(sekaiju\), sekaiju no meikyuu
curse maker 2, sekaiju no meikyuu
curse maker, sekaiju no meikyuu
gunner \(sekaiju\), sekaiju no meikyuu
gunner 2 \(sekaiju\), sekaiju no meikyuu
masurao \(sekaiju\), sekaiju no meikyuu
masurao 2 \(sekaiju\), sekaiju no meikyuu
ogino chihiro, sen to chihiro no kamikakushi
alicia melchiott, senjou no valkyria \(series\)
selvaria bles, senjou no valkyria \(series\)
akatsuki kirika, senki zesshou symphogear
carol malus dienheim, senki zesshou symphogear
garie tuman, senki zesshou symphogear
kazanari tsubasa, senki zesshou symphogear
kohinata miku, senki zesshou symphogear
maria cadenzavna eve, senki zesshou symphogear
tachibana hibiki \(symphogear\), senki zesshou symphogear
tsukuyomi shirabe, senki zesshou symphogear
yukine chris, senki zesshou symphogear
igarashi futaba \(shiromanta\), senpai ga uzai kouhai no hanashi
asuka \(senran kagura\), senran kagura
haruka \(senran kagura\), senran kagura
hibari \(senran kagura\), senran kagura
hikage \(senran kagura\), senran kagura
homura \(senran kagura\), senran kagura
ikaruga \(senran kagura\), senran kagura
katsuragi \(senran kagura\), senran kagura
mirai \(senran kagura\), senran kagura
miyabi \(senran kagura\), senran kagura
murasaki \(senran kagura\), senran kagura
ryoubi \(senran kagura\), senran kagura
ryouna \(senran kagura\), senran kagura
shiki \(senran kagura\), senran kagura
yomi \(senran kagura\), senran kagura
yozakura \(senran kagura\), senran kagura
yumi \(senran kagura\), senran kagura
hitachi mako, senren banka
murasame \(senren\), senren banka
tomotake yoshino, senren banka
iwakura lain, serial experiments lain
senko \(sewayaki kitsune no senko-san\), sewayaki kitsune no senko-san
emilico \(shadows house\), shadows house
arisa \(shadowverse\), shadowverse
luna \(shadowverse\), shadowverse
alastor \(shakugan no shana\), shakugan no shana
shana, shakugan no shana
shantae, shantae \(series\)
miyazono kawori, shigatsu wa kimi no uso
cerberus \(shingeki no bahamut\), shingeki no bahamut
grea \(shingeki no bahamut\), shingeki no bahamut
annie leonhart, shingeki no kyojin
hange zoe, shingeki no kyojin
krista lenz, shingeki no kyojin
mikasa ackerman, shingeki no kyojin
pieck finger, shingeki no kyojin
sasha blouse, shingeki no kyojin
corticarte apa lagranges, shinkyoku soukai polyphonica
otonashi kiruko, shinmai fukei kiruko-san
astaroth \(shinrabanshou\), shinrabanshou
izuna \(shinrabanshou\), shinrabanshou
ikamusume, shinryaku! ikamusume
cecilia \(shiro seijo to kuro bokushi\), shiro seijo to kuro bokushi
miyamori aoi, shirobako
yano erika, shirobako
anceril sacred, shirokami project
mito ikumi, shokugeki no souma
nakiri alice, shokugeki no souma
nakiri erina, shokugeki no souma
aijou karen, shoujo kageki revue starlight
daiba nana, shoujo kageki revue starlight
kagura hikari, shoujo kageki revue starlight
saijou claudine, shoujo kageki revue starlight
tendou maya, shoujo kageki revue starlight
tsuyuzaki mahiru, shoujo kageki revue starlight
tenjou utena, shoujo kakumei utena
cyan \(show by rock!!\), show by rock!!
rosia \(show by rock!!\), show by rock!!
nerine, shuffle!
shigure asa, shuffle!
hinamori amu, shugo chara!
shy \(character\), shy \(series\)
heather mason, silent hill \(series\)
alice \(sinoalice\), sinoalice
briar rose \(sinoalice\), sinoalice
red riding hood \(sinoalice\), sinoalice
snow white \(sinoalice\), sinoalice
chikage \(sister princess\), sister princess
bloody marie \(skullgirls\), skullgirls
cerebella \(skullgirls\), skullgirls
eliza \(skullgirls\), skullgirls
filia \(skullgirls\), skullgirls
leviathan \(skullgirls\), skullgirls
ms. fortune \(skullgirls\), skullgirls
painwheel \(skullgirls\), skullgirls
parasoul \(skullgirls\), skullgirls
peacock \(skullgirls\), skullgirls
samson \(skullgirls\), skullgirls
squigly \(skullgirls\), skullgirls
valentine \(skullgirls\), skullgirls
vice-versa \(skullgirls\), skullgirls
lina inverse, slayers
naga the serpent, slayers
amy rose, sonic \(series\)
blaze the cat, sonic \(series\)
rouge the bat, sonic \(series\)
inui sajuna, sono bisque doll wa koi wo suru
kitagawa marin, sono bisque doll wa koi wo suru
kuroe shizuku, sono bisque doll wa koi wo suru
rizu-kyun, sono bisque doll wa koi wo suru
noel \(sora no method\), sora no method
ikaros, sora no otoshimono
nymph \(sora no otoshimono\), sora no otoshimono
kannagi itsuki, sora wo kakeru shoujo
yaotome urushi, soredemo ayumu wa yosetekuru
sansei muramasa, soukou akki muramasa
blair \(soul eater\), soul eater
maka albarn, soul eater
cassandra alexandra, soulcalibur
chai xianghua, soulcalibur
isabella valentine, soulcalibur
sophitia alexandra, soulcalibur
taki \(soulcalibur\), soulcalibur
ephnel, soulworker
iris yuma, soulworker
stella unibell, soulworker
rasis, sound voltex
aura \(sousou no frieren\), sousou no frieren
fern \(sousou no frieren\), sousou no frieren
frieren, sousou no frieren
ubel \(sousou no frieren\), sousou no frieren
holo, spice and wolf
agent 3 \(splatoon\), splatoon \(series\)
agent 8 \(splatoon\), splatoon \(series\)
callie \(splatoon\), splatoon \(series\)
frye \(splatoon\), splatoon \(series\)
harmony \(splatoon\), splatoon \(series\)
harmony's clownfish \(splatoon\), splatoon \(series\)
inkling girl, splatoon \(series\)
inkling player character, splatoon \(series\)
marie \(splatoon\), splatoon \(series\)
marina \(splatoon\), splatoon \(series\)
octoling girl, splatoon \(series\)
octoling player character, splatoon \(series\)
pearl \(splatoon\), splatoon \(series\)
shiver \(splatoon\), splatoon \(series\)
smallfry \(splatoon\), splatoon \(series\)
takozonesu, splatoon \(series\)
tao blu \(splatoon\), splatoon \(series\)
anya \(spy x family\), spy x family
director chimera \(spy x family\), spy x family
yor briar, spy x family
krystal, star fox
maria traydor, star ocean
nel zelpher, star ocean
precis neumann, star ocean
rena lanford, star ocean
sophia esteed, star ocean
ahsoka tano, star wars
akiha rumiho, steins;gate
amane suzuha, steins;gate
hiyajou maho, steins;gate
makise kurisu, steins;gate
shiina mayuri, steins;gate
eve \(stellar blade\), stellar blade
airi kanna, stellive
akane lize, stellive
cammy white, street fighter
chun-li, street fighter
crimson viper, street fighter
elena \(street fighter\), street fighter
han juri, street fighter
ibuki \(street fighter\), street fighter
kanzuki karin, street fighter
kasugano sakura, street fighter
kimberly jackson, street fighter
kolin, street fighter
laura matsuda, street fighter
m. bison, street fighter
makoto \(street fighter\), street fighter
manon legrand, street fighter
menat, street fighter
rainbow mika, street fighter
rose \(street fighter\), street fighter
himeragi yukina, strike the blood
kirasaka sayaka, strike the blood
helma lennartz, strike witches: suomus misfits squadron
suguri \(orange juice\), suguri
kotonomiya yuki, suigetsu
yamato suzuran, suigetsu
bellows \(suisei no gargantia\), suisei no gargantia
kamiyama shiki, summer pockets
kushima kamome, summer pockets
naruse shiroha, summer pockets
sorakado ao, summer pockets
tsumugi wenders, summer pockets
kofune ushio, summertime render
aty \(summon night\), summon night
rio rollins, super blackjack
toono mizuki, super real mahjong
nanbu kaguya, super robot wars
seolla schweizer, super robot wars
asahina mikuru, suzumiya haruhi no yuuutsu
asakura ryouko, suzumiya haruhi no yuuutsu
kipi-san, suzumiya haruhi no yuuutsu
kyon's sister, suzumiya haruhi no yuuutsu
kyonko, suzumiya haruhi no yuuutsu
nagato yuki, suzumiya haruhi no yuuutsu
suzumiya haruhi, suzumiya haruhi no yuuutsu
tsuruya, suzumiya haruhi no yuuutsu
alice zuberg, sword art online
asada shino, sword art online
asuna \(sao-alo\), sword art online
asuna \(sao\), sword art online
kirigaya suguha, sword art online
lisbeth \(sao-alo\), sword art online
lisbeth \(sao\), sword art online
llenn \(sao\), sword art online
philia \(sao\), sword art online
pina \(sao\), sword art online
silica \(sao-alo\), sword art online
silica, sword art online
sinon \(sao-alo\), sword art online
sinon, sword art online
titania \(sao\), sword art online
yuuki \(sao\), sword art online
iri flina, sword girls
sita vilosa, sword girls
haiyi, synthesizer v
akiyama rinko, taimanin \(series\)
igawa asagi, taimanin \(series\)
igawa sakura, taimanin \(series\)
ingrid \(taimanin murasaki\), taimanin \(series\)
mizuki yukikaze, taimanin \(series\)
alisha diphda, tales of \(series\)
anise tatlin, tales of \(series\)
arche klein, tales of \(series\)
cheria barnes, tales of \(series\)
colette brunel, tales of \(series\)
edna \(tales\), tales of \(series\)
estellise sidos heurassein, tales of \(series\)
judith \(tales\), tales of \(series\)
milla maxwell, tales of \(series\)
natalia luzu kimlasca lanvaldear, tales of \(series\)
presea combatir, tales of \(series\)
rita mordio, tales of \(series\)
shionne \(tales\), tales of \(series\)
sophie \(tales\), tales of \(series\)
symonne \(tales\), tales of \(series\)
tear grants, tales of \(series\)
tokunaga \(tales\), tales of \(series\)
velvet crowe, tales of \(series\)
kitashirakawa anko, tamako market
kitashirakawa tamako, tamako market
super tama musume, tamatoys
rapunzel \(disney\), tangled
sherlock shellingford, tantei opera milky holmes
siesta \(tantei wa mou shindeiru\), tantei wa mou shindeiru
kanoe yuuko, tasogare otome x amnesia
filo \(tate no yuusha no nariagari\), tate no yuusha no nariagari
raphtalia, tate no yuusha no nariagari
pyro \(tf2\), team fortress 2
red pyro \(tf2\), team fortress 2
rosa \(tears of themis\), tears of themis
tejina senpai, tejina senpai \(series\)
julia chang, tekken
kazama asuka, tekken
lili \(tekken\), tekken
ling xiaoyu, tekken
nina williams, tekken
reina \(tekken\), tekken
ryouko \(tenchi muyou!\), tenchi muyou!
adiane, tengen toppa gurren lagann
boota \(ttgl\), tengen toppa gurren lagann
nia teppelin, tengen toppa gurren lagann
space yoko, tengen toppa gurren lagann
yoko littner, tengen toppa gurren lagann
yomako, tengen toppa gurren lagann
amano hina \(tenki no ko\), tenki no ko
milim nava, tensei shitara slime datta ken
kohibari kurumi, tenshi souzou re-boot!
shirayuki noa, tenshi souzou re-boot!
tanikaze amane, tenshi souzou re-boot!
chitose sana, tenshinranman
sakuna-hime, tensui no sakuna-hime
elin, tera online
birdy cephon altera, tetsuwan birdy
pomni \(the amazing digital circus\), the amazing digital circus
r dorothy wayneright, the big o
angel \(kof\), the king of fighters
asamiya athena, the king of fighters
blue mary, the king of fighters
king \(snk\), the king of fighters
kula diamond, the king of fighters
leona heidern, the king of fighters
shermie \(kof\), the king of fighters
vanessa \(kof\), the king of fighters
whip \(kof\), the king of fighters
yuri sakazaki, the king of fighters
impa, the legend of zelda
linkle, the legend of zelda
malon, the legend of zelda
midna \(true\), the legend of zelda
midna, the legend of zelda
mipha, the legend of zelda
paya \(zelda\), the legend of zelda
princess zelda, the legend of zelda
purah, the legend of zelda
riju, the legend of zelda
saria \(zelda\), the legend of zelda
sheik, the legend of zelda
urbosa, the legend of zelda
ariel \(disney\), the little mermaid
kaguya luna, the moon studio
pinky pop hepburn, the moon studio
yamamura sadako, the ring
chel \(the road to el dorado\), the road to el dorado
ciri, the witcher \(series\)
blue rose \(tiger & bunny\), tiger & bunny
dragon kid, tiger & bunny
huang baoling, tiger & bunny
karina lyle, tiger & bunny
hoshina tomoko, to heart
ilfa \(to heart\), to heart \(series\)
komaki manaka, to heart \(series\)
kousaka tamaki, to heart \(series\)
kurusugawa ayaka, to heart \(series\)
kusakabe yuuki \(to heart 2\), to heart \(series\)
kusugawa sasara, to heart \(series\)
lucy maria misora, to heart \(series\)
maaryan \(to heart\), to heart \(series\)
sasamori karin, to heart \(series\)
tonami yuma, to heart \(series\)
yuzuhara konomi, to heart \(series\)
konjiki no yami, to love-ru
kotegawa yui, to love-ru
kurosaki mea, to love-ru
lala satalin deviluke, to love-ru
momo velia deviluke, to love-ru
nana asta deviluke, to love-ru
peke, to love-ru
sairenji haruna, to love-ru
yuuki mikan, to love-ru
frenda seivelun, toaru majutsu no index
fukiyose seiri, toaru majutsu no index
gekota, toaru majutsu no index
index \(toaru majutsu no index\), toaru majutsu no index
kanzaki kaori, toaru majutsu no index
kinuhata saiai, toaru majutsu no index
konori mii, toaru majutsu no index
last order \(toaru majutsu no index\), toaru majutsu no index
misaka imouto, toaru majutsu no index
misaka mikoto, toaru majutsu no index
misaka worst, toaru majutsu no index
mugino shizuri, toaru majutsu no index
othinus, toaru majutsu no index
saten ruiko, toaru majutsu no index
shirai kuroko, toaru majutsu no index
shokuhou misaki, toaru majutsu no index
suzushina yuriko, toaru majutsu no index
uiharu kazari, toaru majutsu no index
megurine luka \(toeto\), toeto \(vocaloid\)
alisa mikhailovna kujou, tokidoki bosotto roshia-go de dereru tonari no alya-san
suou yuki, tokidoki bosotto roshia-go de dereru tonari no alya-san
hinomoto hikari, tokimeki memorial
alessandra susu, tokyo 7th sisters
tamasaka makoto, tokyo 7th sisters
uesugi u. kyouko, tokyo 7th sisters
kamishiro rize, tokyo ghoul
kirishima touka, tokyo ghoul
mew ichigo, tokyo mew mew
momomiya ichigo, tokyo mew mew
lara croft, tomb raider
sophie twilight, tonari no kyuuketsuki-san
nono \(top wo nerae 2!\), top wo nerae 2!
takaya noriko, top wo nerae!
aisaka taiga, toradora!
kawashima ami, toradora!
kushieda minori, toradora!
palmtop tiger, toradora!
aki minoriko, touhou
aki shizuha, touhou
alice margatroid \(pc-98\), touhou
alice margatroid, touhou
chen \(cat\), touhou
chen, touhou
cirno, touhou
clownpiece, touhou
daiyousei, touhou
doremy sweet, touhou
ebisu eika, touhou
elis \(touhou\), touhou
ellen \(touhou\), touhou
elly \(touhou\), touhou
eternity larva, touhou
ex-keine, touhou
ex-rumia, touhou
flandre scarlet, touhou
fujiwara no mokou, touhou
futatsuiwa mamizou \(human\), touhou
futatsuiwa mamizou, touhou
